RANK,NAME,EVENT,SG:T,SG:T2G,SG:P,SG:OTT,SG:APP,SG:ARG
1,Brooks Koepka,safeway,10.654,4.515,6.138,2.617,2.677,-0.779
2,Hideki Matsuyama,safeway,10.654,8.849,1.804,3.508,8.912,-3.571
3,Vijay Singh,safeway,11.654,9.844,1.809,5.558,6.223,-1.937
4,Max Homa,safeway,8.654,5.16,3.493,2.512,1.504,1.143
5,Will MacKenzie,safeway,8.654,3.762,4.891,4.045,0.182,-0.465
6,Justin Hicks,safeway,6.654,8.053,-1.399,5.3,2.34,0.412
7,Billy Hurley III,safeway,8.653,9.002,-0.349,3.654,3.574,1.774
7,James Driscoll,safeway,5.654,1.462,4.191,0.421,0.246,0.794
9,Ben Martin,safeway,6.654,2.623,4.03,1.797,0.146,0.679
10,Jimmy Walker,safeway,13.654,1.42,12.233,-0.873,1.883,0.41
10,Brendon Todd,safeway,4.653,0.965,3.687,2.747,-2.373,0.592
12,Kevin Na,safeway,10.654,2.609,8.044,-2.308,5.788,-0.87
13,Andres Gonzales,safeway,6.653,2.101,4.551,-1.159,2.318,0.943
14,Kyle Stanley,safeway,3.653,5.696,-2.043,1.887,6.05,-2.24
14,Brian Harman,safeway,9.654,5.288,4.365,-0.303,4.663,0.928
14,Robert Garrigus,safeway,7.654,2.755,4.898,3.118,1.901,-2.264
17,Scott Brown,safeway,10.653,8.133,2.519,3.198,3.84,1.095
18,Russell Knox,safeway,4.653,6.15,-1.497,2.2,2.073,1.877
19,Kevin Chappell,safeway,1.654,3.605,-1.951,1.21,4.045,-1.65
20,Ryo Ishikawa,safeway,5.654,7.68,-2.026,2.465,8.832,-3.617
21,Y.E. Yang,safeway,3.653,1.106,2.546,0.293,-1.489,2.303
22,Jason Gore,safeway,4.654,1.473,3.18,3.301,-1.396,-0.431
23,George McNeill,safeway,9.654,5.694,3.959,-1.736,4.988,2.442
23,Daniel Summerhays,safeway,2.653,-2.103,4.755,-2.277,-0.693,0.869
25,Brian Davis,safeway,3.654,2.092,1.561,-0.405,-0.622,3.12
26,Jason Kokrak,safeway,7.654,5.18,2.473,2.779,1.959,0.441
27,Briny Baird,safeway,4.654,6.048,-1.394,0.642,4.39,1.015
28,Camilo Villegas,safeway,4.653,0.197,4.455,0.895,1.103,-1.8
28,Charlie Beljan,safeway,1.653,0.214,1.438,4.528,-1.901,-2.411
30,David Hearn,safeway,5.654,-1.001,6.654,-0.21,-2.955,2.165
31,Jim Herman,safeway,4.653,0.582,4.07,1.058,-0.267,-0.207
32,Lee Williams,safeway,0.654,-0.463,1.116,-0.273,1.834,-2.023
33,Trevor Immelman,safeway,5.654,4.258,1.395,-0.235,1.283,3.21
34,Charles Howell III,safeway,3.654,9.017,-5.363,3.926,4.122,0.968
35,Sean O'Hair,safeway,4.654,-0.133,4.786,1.878,-2.743,0.732
36,Jeff Overton,safeway,6.653,6.986,-0.333,0.031,4.836,2.119
37,Jonas Blixt,safeway,0.653,1.894,-1.241,1.324,0.44,0.13
38,Tyrone Van Aswegen,safeway,2.654,1.916,0.737,0.479,-0.462,1.899
39,Danny Lee,safeway,3.654,3.939,-0.285,-0.325,5.079,-0.814
39,John Peterson,safeway,5.654,3.043,2.61,2.487,2.768,-2.212
41,Kevin Tway,safeway,2.653,-4.59,7.242,2.112,-5.739,-0.961
42,Josh Teater,safeway,0.654,-3.074,3.727,-0.536,-1.971,-0.565
43,Charlie Wi,safeway,7.653,2.491,5.161,1.031,-3.671,5.132
44,Heath Slocum,safeway,2.653,1.171,1.481,1.309,0.883,-1.02
45,Brian Stuard,safeway,-1.347,6.521,-7.868,1.023,0.832,4.666
46,Jason Bohn,safeway,2.653,7.652,-4.999,-1.703,5.152,4.204
47,Spencer Levin,safeway,7.654,3.719,3.934,0.486,-4.152,7.385
48,Chez Reavie,safeway,0.653,6.115,-5.462,4.114,3.022,-1.02
49,Ben Crane,safeway,-2.346,-3.608,1.261,1.028,-4.285,-0.35
50,J.J. Henry,safeway,6.654,1.946,4.707,0.428,0.969,0.548
51,Luke Guthrie,safeway,2.654,0.35,2.303,0.645,1.478,-1.773
52,Kevin Kisner,safeway,3.654,0.444,3.209,-6.308,5.392,1.36
53,Morgan Hoffmann,safeway,1.654,0.565,1.088,1.931,-2.885,1.519
53,Robert Allenby,safeway,-2.347,-0.398,-1.949,-1.84,3.582,-2.138
55,John Rollins,safeway,1.654,1.465,0.188,-1.877,0.027,3.315
56,Robert Streb,safeway,0.654,0.912,-0.258,2.038,-2.599,1.473
57,Bryce Molder,safeway,-2.347,2.7,-5.047,1.133,2.044,-0.476
58,Jerry Kelly,safeway,-0.346,1.155,-1.501,-2.181,0.932,2.404
59,Michael Putnam,safeway,-2.347,-0.114,-2.233,-0.624,1.948,-1.436
60,Brice Garnett,safeway,0.653,-2.663,3.315,-1.98,1.671,-2.352
60,Ricky Barnes,safeway,3.654,3.221,0.432,-3.226,4.968,1.479
62,Davis Love III,safeway,-2.347,-4.901,2.553,-0.138,-4.542,-0.218
63,Will Claxton,safeway,1.654,4.143,-2.489,-0.82,6.429,-1.465
64,Mike Weir,safeway,-2.347,-4.848,2.5,-5.852,-2.716,3.722
65,Jamie Lovemark,safeway,-2.347,2.7,-5.047,-1.718,3.188,1.231
66,Scott Langley,safeway,-1.347,-0.065,-1.282,0.927,-0.816,-0.174
67,Pat Perez,safeway,-1.347,1.384,-2.731,-2.581,0.988,2.978
68,John Huh,safeway,-6.347,-2.605,-3.742,-0.806,-1.709,-0.087
69,Johnson Wagner,safeway,-1.347,-5.753,4.405,-3.629,-2.51,0.388
70,Bud Cauley,safeway,-7.347,-7.531,0.183,-3.155,-4.747,0.373
71,Mark Hubbard,safeway,-4.347,-2.931,-1.416,1.228,-1.825,-2.332
1,Jason Bohn,shriners,12.089,5.486,6.604,1.746,4.738,-1
2,Webb Simpson,shriners,18.089,8.285,9.805,2.001,4.07,2.211
3,Charley Hoffman,shriners,11.089,9.079,2.011,4.721,4.235,0.12
4,Ryan Moore,shriners,9.089,7.288,1.802,1.835,6.09,-0.639
4,Chesson Hadley,shriners,10.089,7.295,2.795,-1.983,7.337,1.939
6,Jeff Overton,shriners,9.089,6.878,2.212,0.89,2.937,3.048
7,Ken Duke,shriners,7.089,4.405,2.685,1.148,2.167,1.087
8,Charles Howell III,shriners,10.089,4.082,6.008,3.254,0.163,0.662
9,Luke Guthrie,shriners,10.089,5.545,4.545,3.339,1.078,1.125
10,Robert Garrigus,shriners,6.089,10.565,-4.474,3.151,3.065,4.346
11,Will MacKenzie,shriners,7.089,3.838,3.252,-1.142,4.265,0.713
12,Troy Matteson,shriners,10.089,8.765,1.325,-1.539,6.629,3.673
13,Brian Davis,shriners,6.089,9.89,-3.799,2.206,1.819,5.862
14,J.J. Henry,shriners,7.089,5.909,1.181,2.561,4.751,-1.405
15,Carl Pettersson,shriners,8.089,6.874,1.216,3.259,1.594,2.018
16,Jimmy Walker,shriners,8.089,5.372,2.718,1.718,2.11,1.541
16,James Driscoll,shriners,5.089,4.099,0.991,0.802,4.89,-1.595
18,Brendon Todd,shriners,8.089,6.203,1.887,1.584,3.077,1.539
19,Max Homa,shriners,4.089,0.728,3.362,1.243,1.349,-1.866
19,Sean O'Hair,shriners,7.089,2.879,4.211,5.72,-3.643,0.8
21,Andrew Svoboda,shriners,7.089,6.259,0.831,0.958,5.456,-0.157
22,Stuart Appleby,shriners,6.089,2.781,3.309,1.216,1.55,0.012
23,Daniel Summerhays,shriners,6.089,6.749,-0.658,4.515,-0.004,2.236
24,Zach Johnson,shriners,2.089,-0.125,2.215,1.484,-1.187,-0.423
25,Morgan Hoffmann,shriners,1.089,-4.587,5.677,-1.645,-2.879,-0.063
26,Russell Knox,shriners,4.089,2.398,1.692,1.291,0.846,0.258
27,Seung-Yul Noh,shriners,-1.911,2.392,-4.301,0.311,2.868,-0.789
27,Freddie Jacobson,shriners,9.089,3.801,5.289,-0.899,2.483,2.215
29,Brian Stuard,shriners,7.089,3.272,3.818,1.31,1.443,0.516
30,José Coceres,shriners,4.089,-0.387,4.477,-4.626,3.157,1.08
30,Briny Baird,shriners,3.089,2.478,0.612,3.127,-0.865,0.214
32,Greg Chalmers,shriners,7.089,6.489,0.601,-1.155,3.307,4.335
33,Vijay Singh,shriners,6.089,5.533,0.557,3.131,0.014,2.385
34,William McGirt,shriners,5.089,-0.371,5.461,-0.548,-0.99,1.166
35,Ben Curtis,shriners,0.089,-4.772,4.862,-3.565,-0.017,-1.19
36,Kevin Stadler,shriners,4.089,7.505,-3.414,5.258,3.742,-1.497
37,John Huh,shriners,4.089,-1.103,5.193,-1.725,-4.346,4.967
38,Chris Kirk,shriners,3.089,1.858,1.232,-1.081,-0.23,3.168
39,Brendan Steele,shriners,-1.911,-5.237,3.327,-1.012,-3.464,-0.761
40,Ryo Ishikawa,shriners,12.089,12.045,0.045,1.352,8.42,2.27
41,John Senden,shriners,-0.911,-4.264,3.354,-0.903,-5.867,2.505
42,Nick Watney,shriners,0.089,3.42,-3.329,0.458,4.653,-1.693
43,Chad Campbell,shriners,3.089,0.495,2.595,-2.046,2.028,0.511
44,Jim Herman,shriners,-1.911,-1.951,0.041,0.214,-2.324,0.157
45,Justin Hicks,shriners,1.089,1.843,-0.752,0.843,2.99,-1.992
46,Ricky Barnes,shriners,7.089,6.873,0.217,-0.008,2.007,4.872
47,Hudson Swafford,shriners,4.089,5.148,-1.057,1.047,5.16,-1.061
48,Brian Harman,shriners,0.089,-0.491,0.581,-0.948,0.047,0.408
49,David Toms,shriners,3.089,4.284,-1.193,0.395,4.2,-0.313
50,Cameron Tringale,shriners,1.089,3.523,-2.432,0.409,2.33,0.781
51,Ben Crane,shriners,-2.911,-2.289,-0.62,-2.381,1.055,-0.964
52,Stephen Ames,shriners,0.089,-5.494,5.584,-1.238,-4.988,0.731
53,Kevin Penner,shriners,1.089,0.914,0.176,-1.002,2.46,-0.545
53,Richard Lee,shriners,1.089,-3.239,4.329,-3.068,-2.041,1.869
55,Billy Hurley III,shriners,0.089,0.616,-0.525,1.068,0.826,-1.28
56,Marc Turnesa,shriners,-0.911,-3.48,2.57,0.131,0.784,-4.397
57,Spencer Levin,shriners,-0.911,0.295,-1.204,-1.101,1.261,0.133
58,Jhonattan Vegas,shriners,2.089,4.509,-2.418,2.148,0.676,1.682
59,Jonathan Byrd,shriners,-1.911,-3.244,1.334,-1.349,-3.119,1.223
60,Harris English,shriners,2.089,5.404,-3.313,2.115,1.766,1.52
60,Josh Teater,shriners,-7.911,-7.694,-0.215,-0.049,-1.065,-6.58
62,Tyrone Van Aswegen,shriners,-3.911,-2.437,-1.472,-3.613,-0.397,1.572
63,Kyle Reifers,shriners,-4.911,-2.032,-2.877,-1.525,-3.645,3.137
64,Bryce Molder,shriners,-4.911,-3.585,-1.324,-1.426,-3.069,0.909
64,Davis Love III,shriners,-2.911,-4.027,1.117,0.431,-2.258,-2.201
66,Geoff Ogilvy,shriners,-5.911,-5.588,-0.321,0.279,-1.781,-4.087
67,George McNeill,shriners,-2.911,-4.771,1.861,-0.533,-3.102,-1.136
68,Brice Garnett,shriners,-0.911,-0.132,-0.777,1.5,-1.284,-0.349
69,Will Claxton,shriners,-8.911,-8.31,-0.599,-2.47,-2.709,-3.131
70,"Ted Potter, Jr.",shriners,-1.911,-1.343,-0.566,-0.272,0.391,-1.463
71,John Merrick,shriners,-3.911,-3.124,-0.785,-0.69,1.573,-4.008
1,Kevin Stadler,rsm,8.458,7.515,0.942,3.079,2.838,1.599
2,Scott Brown,rsm,12.458,4.822,7.635,3.651,-0.775,1.948
3,John Senden,rsm,12.458,6.086,6.371,2.795,2.558,0.734
4,Chris Kirk,rsm,14.458,8.982,5.475,1.481,3.21,4.292
5,Tim Clark,rsm,13.458,9.42,4.037,-0.546,9.924,0.044
6,Briny Baird,rsm,13.458,8.425,5.032,2.271,3.942,2.213
6,Matt Every,rsm,10.458,8.174,2.283,1.812,4.647,1.716
8,Brendon de Jonge,rsm,7.458,3.825,3.632,2.372,0.07,1.384
9,Charley Hoffman,rsm,5.458,5.286,0.171,0.194,1.955,3.138
10,Robert Karlsson,rsm,8.458,7.59,0.867,0.646,4.57,2.375
10,Boo Weekley,rsm,5.458,8.144,-2.686,3.88,2.691,1.574
12,Jason Kokrak,rsm,8.458,7.946,0.511,5.329,1.837,0.781
13,Brian Harman,rsm,8.458,2.508,5.949,-1.601,2.883,1.228
13,Daniel Summerhays,rsm,8.458,3.735,4.722,4.336,-1.244,0.645
15,Charles Howell III,rsm,4.458,2.835,1.622,4.894,-0.659,-1.397
16,Zach Johnson,rsm,7.458,1.316,6.141,-0.121,2.289,-0.849
17,Greg Chalmers,rsm,8.458,-3.464,11.921,-0.252,-3.642,0.433
18,Webb Simpson,rsm,10.458,6.077,4.38,1.44,3.22,1.418
19,Seung-Yul Noh,rsm,4.458,0.816,3.641,-5.147,3.104,2.861
20,George McNeill,rsm,5.458,2.07,3.387,-0.05,1.806,0.316
21,Trevor Immelman,rsm,6.458,7.536,-1.078,1.752,5.204,0.581
22,Kevin Chappell,rsm,3.458,10.641,-7.183,4.295,5.777,0.57
23,Heath Slocum,rsm,7.458,6.806,0.651,1.576,5.604,-0.372
24,Brendon Todd,rsm,7.458,5.993,1.464,1.092,3.291,1.611
25,Cameron Tringale,rsm,4.458,2.735,1.722,3.736,-0.778,-0.22
26,Robert Garrigus,rsm,5.458,2.405,3.052,-0.174,3.57,-0.988
27,James Hahn,rsm,0.458,-0.849,1.306,5.417,-3.644,-2.619
28,John Rollins,rsm,3.458,-1.052,4.509,-2.263,0.044,1.169
29,Matt Kuchar,rsm,10.458,8.884,1.573,0.803,5.257,2.825
30,Danny Lee,rsm,1.458,-2.43,3.887,1.554,-2.43,-1.551
30,Russell Knox,rsm,3.458,3.402,0.055,1.767,2.55,-0.913
32,Brice Garnett,rsm,2.458,3.722,-1.264,2.73,-1.91,2.904
33,David Toms,rsm,4.458,5.983,-1.525,2.487,2.446,1.051
34,Michael Putnam,rsm,0.458,3.452,-2.994,1.719,2.321,-0.586
35,Brian Gay,rsm,12.458,2.912,9.545,-1.6,3.056,1.458
36,Scott Langley,rsm,5.458,4.757,0.7,2.573,0.437,1.748
37,Mark Wilson,rsm,0.458,1.695,-1.237,-1.254,2.027,0.924
38,Carl Pettersson,rsm,-0.542,-1.879,1.336,3.551,-1.939,-3.488
39,David Hearn,rsm,1.458,5.812,-4.354,0.579,1.646,3.588
40,J.J. Henry,rsm,0.458,-0.39,0.847,-3.086,4.05,-1.351
41,Harris English,rsm,4.458,6.966,-2.508,4.077,2.505,0.385
42,Ben Curtis,rsm,3.458,-1.433,4.89,-0.848,-2.075,1.493
43,Woody Austin,rsm,1.458,-1.609,3.066,-3.382,3.027,-1.251
44,Camilo Villegas,rsm,1.458,4.349,-2.891,1.419,2.213,0.718
45,Kevin Kisner,rsm,6.458,0.207,6.25,-0.942,1.773,-0.621
46,Kyle Stanley,rsm,-0.542,5.053,-5.595,4.047,0.924,0.083
47,"Ted Potter, Jr.",rsm,2.458,6.716,-4.258,2.342,2.779,1.596
47,Scott Piercy,rsm,-2.542,-7.765,5.222,-2.939,-4.931,0.108
49,Stuart Appleby,rsm,2.458,-0.831,3.288,-0.005,-2.189,1.366
50,Troy Matteson,rsm,1.458,2.598,-1.14,3.306,-0.076,-0.629
51,Martin Flores,rsm,-0.542,-1.49,0.947,0.579,0.006,-2.073
52,Josh Broadaway,rsm,0.458,8.741,-8.283,2.337,8.92,-2.514
52,Lucas Glover,rsm,1.458,4.148,-2.69,-0.226,4.655,-0.278
54,Chad Campbell,rsm,2.458,5.665,-3.207,-1.579,5.173,2.073
54,Retief Goosen,rsm,-3.542,-5.578,2.035,-8.199,-0.812,3.436
56,Aaron Baddeley,rsm,1.458,-3.499,4.956,-1.861,-2.357,0.722
57,Will Claxton,rsm,1.458,-1.263,2.72,0.933,-3.388,1.194
58,Eric Axley,rsm,0.458,-5.806,6.263,-0.015,-3.685,-2.102
59,Pat Perez,rsm,0.458,-5.294,5.751,-4.108,-2.588,1.405
60,Steven Bowditch,rsm,-1.542,1.27,-2.812,0.622,-1.975,2.625
61,Spencer Levin,rsm,-0.542,2.116,-2.658,-0.65,0.561,2.207
62,D.H. Lee,rsm,-5.542,-7.534,1.991,-5.875,-2.379,0.723
63,Darren Clarke,rsm,-3.542,-1.33,-2.212,1.393,-1.545,-1.175
64,Blake Adams,rsm,-0.542,0.897,-1.439,1.619,-0.735,0.015
65,Rory Sabbatini,rsm,-5.542,-8.13,2.587,0.049,-4.735,-3.441
66,Erik Compton,rsm,-2.542,-0.875,-1.667,4.224,-1.782,-3.314
67,Jonathan Byrd,rsm,-0.542,4.748,-5.29,1.198,3.257,0.294
68,Y.E. Yang,rsm,-6.542,-3.002,-3.54,-0.328,-1.242,-1.428
69,Mike Weir,rsm,-0.542,-8.614,8.071,-10.093,1.091,0.39
70,Russell Henley,rsm,-3.542,-0.743,-2.799,0.595,0.032,-1.368
71,Andres Romero,rsm,-4.542,-2.532,-2.01,3.852,-6.662,0.28
72,Paul Goydos,rsm,-6.542,-5.04,-1.502,-2.371,-2.309,-0.356
73,Justin Leonard,rsm,-3.542,-5.958,2.415,-5.612,-2.687,2.344
1,Zach Johnson,sentrytoc,9.332,9.253,0.079,-1.345,7.448,3.15
2,Kevin Streelman,sentrytoc,7.332,3.74,3.592,0.269,2.568,0.902
3,Matt Kuchar,sentrytoc,4.332,3.049,1.283,1.403,2.437,-0.791
4,Billy Horschel,sentrytoc,4.332,2.146,2.186,1.486,0.16,0.499
5,Michael Thompson,sentrytoc,0.332,2.19,-1.857,1.186,-0.693,1.697
6,Dustin Johnson,sentrytoc,4.332,3.403,0.929,1.923,3.073,-1.593
7,Ryan Moore,sentrytoc,3.332,2.767,0.565,-1.988,5.56,-0.804
8,Jason Dufner,sentrytoc,5.332,7.463,-2.13,-0.231,4.659,3.035
9,Jordan Spieth,sentrytoc,8.332,4.256,4.076,2.702,1.12,0.433
10,Adam Scott,sentrytoc,4.332,-0.377,4.709,3.481,-4.113,0.255
11,Harris English,sentrytoc,2.332,5.293,-2.96,2.601,2.191,0.5
12,Gary Woodland,sentrytoc,1.332,2.622,-1.289,2.939,-0.725,0.408
13,Jimmy Walker,sentrytoc,-2.668,-6.002,3.334,-5.018,-0.563,-0.419
14,Webb Simpson,sentrytoc,7.332,3.008,4.324,2.374,-0.644,1.278
15,Scott Brown,sentrytoc,-4.668,-4.133,-0.534,-0.613,-5.775,2.256
16,Brandt Snedeker,sentrytoc,2.332,-0.348,2.68,-0.91,-1.397,1.96
17,Russell Henley,sentrytoc,-6.668,-4.534,-2.133,0.369,1.699,-6.602
18,Sangmoon Bae,sentrytoc,-2.668,-6.319,3.651,0.946,-4.011,-3.253
19,Brian Gay,sentrytoc,1.332,-1.059,2.391,-2.497,5.566,-4.127
20,Ken Duke,sentrytoc,0.332,-3.584,3.916,-4.061,1.652,-1.174
21,Patrick Reed,sentrytoc,0.332,-2.412,2.744,2.485,-6.233,1.336
22,Bill Haas,sentrytoc,-4.668,1.314,-5.981,-0.213,-0.086,1.614
22,Boo Weekley,sentrytoc,-5.668,3.896,-9.563,2.827,1.418,-0.349
24,Woody Austin,sentrytoc,1.332,-2.074,3.406,-3.515,2.64,-1.198
25,Martin Laird,sentrytoc,-0.668,0.473,-1.14,3.093,-1.526,-1.093
26,Chris Kirk,sentrytoc,0.332,3.557,-3.224,-1.614,4.414,0.757
27,Jonas Blixt,sentrytoc,-2.668,-7.274,4.606,-2.703,-6.732,2.162
28,John Merrick,sentrytoc,-9.668,-5.115,-4.552,-0.516,-3.332,-1.265
29,Derek Ernst,sentrytoc,-18.668,-12.689,-5.978,-2.565,-8.513,-1.609
30,D.A. Points,sentrytoc,-9.668,-2.533,-7.134,-2.293,-2.268,2.029
1,Jimmy Walker,sonyopen,13.544,7.903,5.641,4.354,2.502,1.044
2,Chris Kirk,sonyopen,12.544,13.331,-0.786,3.153,9.416,0.759
3,Harris English,sonyopen,10.544,9.388,1.156,4.713,0.447,4.225
4,Hudson Swafford,sonyopen,6.544,5.863,0.681,1.978,4.75,-0.867
5,Jerry Kelly,sonyopen,11.544,5.059,6.485,2.626,-0.846,3.277
5,Ryan Palmer,sonyopen,6.544,6.143,0.401,3.455,2.755,-0.069
7,Brian Stuard,sonyopen,8.544,6.828,1.716,-0.59,4.949,2.467
8,Chris Stroud,sonyopen,5.544,7.683,-2.138,-0.205,5.034,2.852
9,Marc Leishman,sonyopen,9.544,2.695,6.849,-0.709,1.7,1.702
10,Adam Scott,sonyopen,6.544,9.086,-2.541,2.303,4.981,1.799
11,Billy Hurley III,sonyopen,2.544,2.641,-0.096,0.744,-1.159,3.054
12,Hideto Tanihara,sonyopen,6.544,-0.495,7.039,1.153,0.472,-2.122
13,Zach Johnson,sonyopen,6.544,7.48,-0.935,3.648,5.694,-1.864
14,Justin Hicks,sonyopen,0.544,-2.621,3.165,1.106,-0.195,-3.533
15,Brian Gay,sonyopen,3.544,2.092,1.452,-0.726,0.19,2.626
16,Peter Malnati,sonyopen,2.544,1.466,1.078,1.569,-3.822,3.717
17,Matt Kuchar,sonyopen,6.544,4.161,2.383,4.462,-0.046,-0.256
17,Charlie Beljan,sonyopen,2.544,-3.911,6.455,0.465,-1.901,-2.476
19,Ryuji Imada,sonyopen,5.544,-0.486,6.03,-1.066,-1.687,2.266
19,Pat Perez,sonyopen,6.544,2.711,3.833,-1.47,4.997,-0.817
21,Jason Kokrak,sonyopen,5.544,5.225,0.319,1.161,1.424,2.637
22,Heath Slocum,sonyopen,5.544,2.333,3.211,2.206,-0.513,0.638
23,K.J. Choi,sonyopen,5.544,5.608,-0.063,-0.779,5.765,0.62
24,Sangmoon Bae,sonyopen,3.544,0.399,3.145,2.395,1.159,-3.157
25,Retief Goosen,sonyopen,6.544,3.408,3.136,-1.283,3.531,1.158
26,Spencer Levin,sonyopen,4.544,4.617,-0.072,0.13,3.898,0.586
27,Brendon Todd,sonyopen,5.544,4.016,1.528,0.986,1.341,1.686
28,Jeff Overton,sonyopen,7.544,7.373,0.171,1.016,2.789,3.565
28,Stewart Cink,sonyopen,5.544,6.888,-1.343,0.69,6.53,-0.334
30,Kevin Na,sonyopen,6.544,6.237,0.307,0.244,5.761,0.229
31,Michael Putnam,sonyopen,3.544,9.404,-5.859,2.18,6.413,0.808
32,Russell Henley,sonyopen,0.544,-4.498,5.042,1.111,-1.598,-4.012
33,Jason Dufner,sonyopen,4.544,3.554,0.99,0.017,0.927,2.607
34,Ben Martin,sonyopen,2.544,0.391,2.153,3.442,-1.188,-1.864
35,Will Wilcox,sonyopen,6.544,5.512,1.032,1.263,5.547,-1.3
36,Matt Every,sonyopen,6.544,1.085,5.459,0.222,0.693,0.167
36,Tyrone Van Aswegen,sonyopen,-0.456,2.601,-3.056,-1.338,1.999,1.938
36,Charles Howell III,sonyopen,6.544,0.622,5.922,3.11,-5.065,2.575
39,Steven Bowditch,sonyopen,0.544,0.26,0.284,0.029,-1.759,1.988
40,Justin Leonard,sonyopen,3.544,1.095,2.449,0.836,-0.611,0.868
40,John Senden,sonyopen,-0.456,-5.011,4.555,-0.785,-2.978,-1.248
42,John Peterson,sonyopen,5.544,8.605,-3.06,0.014,7.099,1.489
43,John Daly,sonyopen,3.544,-2.041,5.585,-2.008,-2.773,2.739
44,David Hearn,sonyopen,2.544,2.127,0.417,0.492,1.108,0.524
45,James Hahn,sonyopen,1.544,1.902,-0.357,2.048,1.915,-2.063
45,Brice Garnett,sonyopen,2.544,1.538,1.006,-1.434,0.177,2.793
47,John Rollins,sonyopen,0.544,0.319,0.225,-0.616,1.265,-0.331
48,Boo Weekley,sonyopen,4.544,5.676,-1.131,2.78,-0.088,2.982
49,Brian Harman,sonyopen,3.544,2.81,0.734,-2.299,5.875,-0.767
50,D.A. Points,sonyopen,0.544,-4.156,4.7,-1.534,-6.123,3.5
51,Robert Allenby,sonyopen,5.544,-1.308,6.852,-2.387,0.379,0.698
52,Mark Wilson,sonyopen,0.544,-1.952,2.496,0.89,-1.329,-1.514
53,Brendon de Jonge,sonyopen,0.544,1.33,-0.785,2.033,-1.423,0.718
54,Hyung-Sung Kim,sonyopen,-1.456,-1.778,0.322,2.006,-4.145,0.359
55,Daniel Summerhays,sonyopen,1.544,0.976,0.568,0.592,0.851,-0.469
56,Greg Chalmers,sonyopen,0.544,-4.482,5.026,-2.207,-2.027,-0.248
57,Charlie Wi,sonyopen,2.544,3.552,-1.007,-1.43,-0.16,5.141
58,Y.E. Yang,sonyopen,0.544,0.444,0.1,-0.849,-0.298,1.59
58,Scott Brown,sonyopen,-2.456,2.418,-4.873,1.226,3.365,-2.175
60,William McGirt,sonyopen,1.544,-2.279,3.823,0.12,-0.758,-1.642
61,Stuart Appleby,sonyopen,-1.456,-1.328,-0.127,0.268,-3.239,1.641
61,Tim Wilkinson,sonyopen,1.544,1.715,-0.17,1.226,-1.402,1.889
63,Seung-Yul Noh,sonyopen,-0.456,-1.027,0.571,-3.049,1.345,0.675
64,Chad Collins,sonyopen,1.544,0.251,1.293,-1.211,0.257,1.203
64,Paul Goydos,sonyopen,-0.456,2.32,-2.775,2.88,-5.17,4.608
66,Tim Herron,sonyopen,0.544,-1.019,1.563,2.39,-2.583,-0.827
67,Tommy Gainey,sonyopen,-5.456,-5.693,0.237,2.701,-3.129,-5.266
68,Morgan Hoffmann,sonyopen,-1.456,-1.95,0.494,0.141,1.111,-3.204
69,Ricky Barnes,sonyopen,2.544,2.935,-0.39,0.169,2.449,0.314
70,Derek Tolan,sonyopen,-5.456,-5.947,0.491,-7.371,3.045,-1.622
71,Robert Streb,sonyopen,-2.456,2.363,-4.818,-3.599,2.037,3.923
1,Patrick Reed,amexpress,4.367,0.873,3.493,1.196,0.62,-0.944
2,Charlie Beljan,amexpress,2.29,6.425,-4.134,3.075,4.352,-1.003
3,Ryan Palmer,amexpress,11.367,4.282,7.084,2.741,3.363,-1.823
4,Will MacKenzie,amexpress,2.694,1.215,1.479,1.99,0.585,-1.36
5,Zach Johnson,amexpress,7.29,5.486,1.804,2.035,1.831,1.618
6,Justin Leonard,amexpress,5.694,1.435,4.259,0.638,-0.506,1.303
7,Billy Horschel,amexpress,2.367,-2.159,4.525,0.194,-3.045,0.691
8,Bill Haas,amexpress,3.29,0.674,2.616,0.069,0.153,0.45
9,Hudson Swafford,amexpress,1.694,-0.086,1.78,0.688,0.514,-1.288
10,Charley Hoffman,amexpress,0.29,-0.802,1.092,-0.729,-1.077,1.004
10,Matt Jones,amexpress,1.694,-0.792,2.486,1.374,-2.484,0.318
12,Ben Crane,amexpress,4.29,1.997,2.293,0.608,2.599,-1.211
13,Russell Knox,amexpress,7.367,2.739,4.627,0.396,1.528,0.813
14,Harris English,amexpress,-1.71,1.247,-2.956,0.531,0.789,-0.074
15,Brendon Todd,amexpress,5.694,0.801,4.893,2.053,-2.323,1.071
16,Chad Collins,amexpress,4.694,2.26,2.434,-0.511,1.392,1.379
17,Brian Stuard,amexpress,6.29,3.696,2.594,1.038,5.052,-2.395
18,Martin Flores,amexpress,1.367,1.782,-0.415,-1.016,2.376,0.421
19,Rickie Fowler,amexpress,4.29,3.66,0.63,0.46,4.868,-1.669
20,Ryo Ishikawa,amexpress,5.367,6.603,-1.236,1.35,1.796,3.455
20,James Hahn,amexpress,2.367,4.237,-1.87,0.994,2.468,0.773
22,Seung-Yul Noh,amexpress,-2.633,-2.768,0.134,0.415,-2.4,-0.783
23,Gary Woodland,amexpress,1.367,3.285,-1.918,-0.204,3.361,0.127
24,Johnson Wagner,amexpress,1.367,1.527,-0.16,0.376,-1.595,2.745
24,Camilo Villegas,amexpress,3.694,3.107,0.587,0.781,1.065,1.26
